time,symbol,ls_ratio_overall,price,time_diff_ms
1677224899197,BTC,0.913875598,23823.9,701
1677224903827,BTC,0.930501931,23827.3,1082
1677224909625,BTC,0.948937829,23829.8,68
1677224914272,BTC,0.941747573,23827.9,149
1677224919116,BTC,0.941370608,23827.9,142
1677224924027,BTC,0.938360147,23827.2,393
1677224928836,BTC,0.93986421,23827.2,8
1677224934892,BTC,0.9462826,23827.2,1195
1677224938735,BTC,0.949317739,23827.2,55
1677224944807,BTC,0.79662235,23827.3,671
1677224949449,BTC,0.887861053,23833.1,367
1677224954243,BTC,0.900057002,23834.8,97
1677224958908,BTC,0.907668829,23834.8,133
1677224964607,BTC,0.907304978,23832,305
1677224969437,BTC,0.906577693,23834.8,175
1677224973983,BTC,0.903674091,23836.7,118
1677224978616,BTC,0.903674091,23836.7,214
1677224984488,BTC,1.027163998,23845.4,384
1677224989200,BTC,1.018163471,23839.8,327
1677224993748,BTC,1.033760423,23841.5,1290
1677224998726,BTC,1.04792136,23842.4,1156
1677225003578,BTC,1.051702913,23842.4,91
1677225009409,BTC,1.054231717,23845,309
1677225014353,BTC,1.058884085,23845.6,139
1677225018771,BTC,1.078569944,23848.2,144
1677225024653,BTC,1.079866889,23846,910
1677225029615,BTC,1.114164905,23849.2,956
1677225034286,BTC,1.094679514,23845.6,616
1677225038894,BTC,1.085505735,23843.2,820
1677225044939,BTC,1.071680133,23841.7,536
1677225049726,BTC,1.04792136,23838.8,935
1677225053440,BTC,1.056343821,23840.3,317
1677225059740,BTC,1.055076038,23840.4,123
1677225064407,BTC,1.463661,23840.3,35
1677225068980,BTC,1.506893958,23844.2,181
1677225074896,BTC,1.517623364,23844.3,58
1677225079683,BTC,1.596728123,23847.4,280
1677225084719,BTC,1.60213375,23848.7,565
1677225089464,BTC,1.508780733,23843.7,899
1677225094349,BTC,1.405580948,23840.4,275
1677225099280,BTC,1.384358608,23838.5,142
1677225104064,BTC,1.367984845,23838.5,62
1677225109877,BTC,1.360160491,23838.4,162
1677225113927,BTC,1.350176263,23838.4,574
1677225118643,BTC,1.356267672,23838.5,383
1677225124710,BTC,1.379252915,23839.9,490
1677225129588,BTC,1.363507445,23840,660
1677225134302,BTC,1.406738869,23845,524
1677225139064,BTC,1.448579824,23847.9,152
1677225144064,BTC,1.532928065,23848.7,346
1677225148785,BTC,1.508151492,23845.5,552
1677225153631,BTC,1.4348673,23843.7,174
