time,ls_ratio_overall,price,L_ratio
1674181169774,3.0683482506102524,21148.0,0.7542
1674181173986,2.9698292973402145,21148.1,0.7481
1674181179122,2.9370078740157477,21144.5,0.746
1674181184316,2.8226299694189603,21146.0,0.7384000000000001
1674181189422,2.825554705432288,21147.9,0.7386
1674181194830,2.8153376573826785,21147.9,0.7379
1674181198965,3.098360655737705,21159.9,0.7559999999999999
1674181234914,2.2456994482310937,21143.8,0.6919
1674181239042,2.2278889606197545,21142.0,0.6902
1674181244317,2.21646831778707,21140.9,0.6891
1674181249358,2.202049311559398,21145.0,0.6877
1674181254592,2.178639542275906,21144.9,0.6854
1674181259745,2.1367628607277287,21139.9,0.6811999999999999
1674181264757,2.145643284051588,21142.8,0.6820999999999999
1674181294543,2.083564600678384,21146.7,0.6757
1674181299103,2.0618493570116354,21142.4,0.6734
1674181304452,2.0693677102516883,21143.6,0.6742
1674181309698,2.0220610456331216,21143.0,0.6691
1674181315043,2.0129557095510697,21141.8,0.6681
1674181319118,1.9958058717795089,21140.2,0.6662
1674181324365,2.0571690614490983,21142.5,0.6729
1674181354517,2.0902348578491967,21149.6,0.6764
1674181359519,2.050640634533252,21148.1,0.6722
1674181364802,1.9282576866764285,21145.0,0.6585000000000001
1674181369830,1.929973630237328,21146.7,0.6587000000000001
1674181373938,1.9282576866764285,21146.8,0.6585000000000001
1674181379254,1.931691586045148,21146.8,0.6588999999999999
1674181384620,1.6838432635534086,21151.1,0.6274
1674181419475,1.7114967462039044,21160.5,0.6312
1674181424564,1.6888948642108097,21156.0,0.6281
1674181429868,1.6688017080330932,21155.5,0.6253
1674181435013,1.6581605528973953,21155.1,0.6238000000000001
1674181439579,1.654632333421821,21155.0,0.6233
1674181444488,1.2732439190725164,21157.5,0.5600999999999999
1674181449809,1.2920009168003666,21162.7,0.5637
1674181479503,1.2376370552696354,21160.0,0.5531
1674181484594,1.2326412145568209,21159.6,0.5521
1674181489671,1.2192632046160674,21159.5,0.5494
1674181494025,1.2163120567375891,21155.8,0.5488000000000001
1674181499287,1.207505518763797,21154.4,0.547
1674181504394,1.1654395842355998,21153.0,0.5382
1674181509502,1.1734405564007826,21154.3,0.5399
1674181539601,1.0721094073767097,21148.0,0.5174000000000001
1674181544560,1.0673971469919372,21147.9,0.5163
1674181549871,1.0496003279360524,21149.8,0.5121
1674181554112,1.0412329046744233,21149.8,0.5101
1674181559525,1.058460271716756,21152.0,0.5142
1674181563893,1.0325203252032522,21153.6,0.508
1674181569089,1.0399836801305589,21154.0,0.5098
1674181599233,1.080732417811069,21155.8,0.5193999999999999
1674181604501,1.1523891519586742,21159.5,0.5354
1674181608933,1.1427040925648166,21159.7,0.5333
